name,status,img,established,lat,lon,locality,zipcode,location_type,is_closed,street,region,in_planning,is_primary
2nd Story Brewing Company,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/vdEZ9j/upload_fq17DZ-icon.png,,39.9484739,-75.1435556,Philadelphia,19106,Brewpub,N,117 Chestnut St.,Pennsylvania,N,N
2SP Brewing Company,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/VBusEz/upload_gKhoJB-icon.png,,39.8554651,-75.4036331,Aston,19014,Micro Brewery,N,120 Concord Rd.,Pennsylvania,N,N
3 Beards Beer Company,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/Ya599O/upload_eZyZLE-icon.png,2010.0,42.2022941,-72.6046857,Holyoke,01532,Micro Brewery,N,189 W Main St,Massachusetts,N,Y
#FREEDOM Craft Brewery,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/YXDiJk/upload_eAMR3T-icon.png,2012.0,41.2645348,-73.9356068,Buchanan,10511,Micro Brewery,Y,3199 Albany Post Road,New York,N,Y
't Hofbrouwerijke,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/Klgom2/upload_UZxn4s-icon.png,,51.0594198,4.6612503,Beerzel,2580,Micro Brewery,N,Hoogstraat 151,,N,Y
(512) Brewing Company,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/cJio9R/upload_m6PBcA-icon.png,2008.0,30.2234,-97.769736,Austin,78745,Micro Brewery,N,407 Radam,Texas,N,Y
1. Chodsky pivovarek na Morave,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/Ir7gCt/upload_82SuGw-icon.png,,49.014327,16.77976,Sitborice,691 76,Micro Brewery,N,Sitborice 29,,N,Y
1. Selský pivovárek Kroměříž,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/mRKuMO/upload_bnIUoI-icon.png,,49.282829,17.363547,Kroměříž,767 01,Micro Brewery,N,Havlíčkova 4252/130,,N,Y
10 Barrel Brewing Company,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/snQlvg/upload_lQ2Zwq-icon.png,2006.0,44.089005,-121.285385,Bend,97701,Office,N,20750 High Desert Ln,Oregon,N,N
10 Barrel Brewing Company,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/snQlvg/upload_lQ2Zwq-icon.png,2006.0,44.0863837,-121.2806916,Bend,97701,Micro Brewery,N,62970 18th Street,Oregon,Y,N
10 Barrel Brewing Company,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/snQlvg/upload_lQ2Zwq-icon.png,2006.0,44.0562359,-121.3286052,Bend,97701,Restaurant/Ale House,N,1135 NW Galveston Ave,Oregon,N,N
10 Barrel Brewing Company,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/snQlvg/upload_lQ2Zwq-icon.png,2006.0,43.617859,-116.202689,Boise,83702,Brewpub,N,826 West Bannock Street,Idaho,N,Y
101 Brewing,Verified,,,47.8225013,-122.8754211,Quilcene,98376,Brewpub,N,294793 US Highway 101,Washington,N,N
101 Cider House,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/yPwg15/upload_tnKkMf-icon.png,2013.0,34.1540847,-118.80249,Los Angeles County,91362,Cidery,N,31111 Via Colinas,California,N,Y
101 North Brewing Company,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/IPhAuu/upload_Q8ozm6-icon.png,,38.2702161,-122.6652383,Petaluma,94954,Micro Brewery,N,1304 Scott St,California,N,Y
105 West Brewing Co.,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/kxFzGQ/upload_7n1oq2-icon.png,,39.3807478,-104.8660237,Castle Rock,,Micro Brewery,N,1043 Park Street,Colorado,N,N
10K Brewing,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/lhIRoP/upload_2odhvT-icon.png,,45.1982352,-93.3896162,Anoka,55303,Micro Brewery,N,2005 2nd Ave.,Minnesota,N,N
10th District Brewing Company,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/9gtdCj/upload_lYxQYF-icon.png,,42.1063679,-70.9455853,Abington,02351,Nano Brewery,N,491 Washington Street,Massachusetts,N,N
11 Below Brewing,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/MqGKPd/upload_mpsVFs-icon.png,,29.9526225,-95.5189336,Houston,,Micro Brewery,N,6820 Bourgeois Rd.,Texas,N,Y
1188 Brewing Company,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/HNWXrd/upload_0xQr8d-icon.png,2012.0,44.4161059,-118.9518719,John Day,97845,Micro Brewery,N,141 East Main Street,Oregon,N,Y
12 Acres Brewing Company,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/Za6Nem/upload_9mTo0y-icon.png,,0.0,0.0,,R93P2D8,Micro Brewery,N,,Killeshin,N,Y
12 Gates Brewing Company,Verified,,,42.9544152,-78.7146988,Williamsville,14221,Tasting Room,N,80 Earhart Dr.,New York,N,N
12 West Brewing Co.,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/pnLmiu/upload_PtKUxP-icon.png,,33.4154694,-111.8321269,Mesa,85001,Micro Brewery,N,12 WEST MAIN STREET,Arizona,N,Y
127 Brewing,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/9oltPu/upload_7fLGbX-icon.png,2014.0,42.2860115,-84.4312613,Jackson,49201,Micro Brewery,N,3090 Shirley Drive,Michigan,N,Y
12Degree Brewing,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/Cg12u5/upload_sI1dKk-icon.png,2013.0,39.9782693,-105.13192,Louisville,80027,Micro Brewery,N,820 Main Street,Colorado,N,Y
13 Stripes Brewery,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/A1PRmx/upload_vZQC7J-icon.png,2016.0,34.9192757,-82.2849205,Taylors,29687,Micro Brewery,N,250 Mill St,South Carolina,Y,N
13 Virtues Brewing Co,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/u99e3l/upload_PPMtjD-icon.png,1994.0,45.4762533,-122.6488352,Portland,,Micro Brewery,N,6410 SE Miwaukie Ave.,Oregon,N,Y
14er Brewing Company,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/MyqcuZ/upload_mG1Sdx-icon.png,2015.0,39.7392358,-104.990251,Denver,,Micro Brewery,N,,Colorado,N,Y
14th Star Brewing,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/XYOIqp/upload_DjaYrv-icon.png,2011.0,44.8201794,-73.0852061,Saint Albans,05478,Micro Brewery,N,41 Lower Newton Street,Vermont,N,Y
16 Mile Brewing Company,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/P8gV9M/upload_fd9HhU-icon.png,2009.0,38.6788301,-75.378169,Georgetown,19947,Micro Brewery,N,413 S. Bedford St,Delaware,N,Y
1668 Winery & Lockside Brewery,Verified,,,46.5002983,-84.3459866,Sault Sainte Marie,49783,Nano Brewery,N,100 W Portage Ave,Michigan,N,N
1781 Brewing Company,Verified,,2016.0,38.3244935,-77.7188554,Spotsylvania,22553,Micro Brewery,N,11109 Plank Road,Virginia,N,Y
1789 Brewery & Taphouse,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/eRrmuR/upload_sVmEqJ-icon.png,,35.7826363,-80.8872959,Statesville,28625,Micro Brewery,N,,North Carolina,Y,Y
1859 Central Ranges Brewing Co,Verified,,,-33.43668,149.36353,Vittoria,2795,Brewpub,N,2319 Mitchell Highway,New South Wales,N,Y
18th Street Brewery,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/wTxSsQ/upload_cgqdku-icon.png,2010.0,41.5990572,-87.267179,Gary,46403,Micro Brewery,N,5725 Miller Ave,Indiana,N,Y
1912 Brewing Company,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/RQNLui/upload_LZ8R1P-icon.png,,32.2464609,-110.993871,Tucson,85745,Micro Brewery,N,2045 N Forbes Blvd.,Arizona,N,N
192 Brewing Company,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/nFgA09/upload_ACCLxl-icon.png,2009.0,47.776554,-122.2351,Kenmore,98028,Micro Brewery,N,7811 Ne 205th Street,Washington,N,Y
192 Brewing Company,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/nFgA09/upload_ACCLxl-icon.png,2009.0,47.7566065,-122.2424505,Kenmore,98028,Tasting Room,N,7324 NE 175th Street,Washington,N,N
1933 Brewing Company,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/HQNyhH/upload_vGG1j1-icon.png,2014.0,40.5311387,-105.0801963,Fort Collins,80525,Micro Brewery,N,4025 S. Mason St.,Colorado,N,Y
1940's Brewing Company,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/r4JMh7/upload_JjTxB2-icon.png,2014.0,40.783329,-73.08329,Holbrook,11741,Micro Brewery,N,1337-1 Lincoln Avenue,New York,N,Y
1974 Brewing Company,Verified,,2012.0,40.2453741,-75.6496302,Pottstown,,Nano Brewery,Y,,Pennsylvania,N,Y
